Rank,Player_Name,Matches_Played,Average,Strike_Rate,Boundary_Percentage,Batting_Impact_Score,Ranking_Score
203,RN ten Doeschate,24,23.29,138.72,59.51,558.36,45.14
204,Washington Sundar,69,16.92,130.13,53.53,978.56,45.09
205,NLTC Perera,37,19.27,137.22,58.49,704.61,45.08
206,PC Valthaty,23,22.95,120.81,72.08,817.91,45.06
207,GJ Bailey,37,24.56,121.88,52.79,1055.44,45.02
208,SN Thakur,109,11.48,138.75,60.66,568.88,44.89
209,SD Hope,9,22.88,150.0,65.57,349.5,44.62
210,PBB Rajapaksa,13,21.31,145.03,64.26,488.01,44.49
211,JC Archer,57,13.25,143.24,61.89,469.12,44.36
212,Auqib Nabi,1,4.0,200.0,100.0,106.0,44.19
213,RS Sodhi,1,4.0,200.0,100.0,106.0,44.19
214,MJ Guptill,13,22.58,137.56,68.63,475.28,44.19
215,AC Voges,8,45.25,126.57,43.09,334.79,44.09
216,MV Boucher,24,28.14,127.51,52.28,654.75,43.96
217,Arshad Khan,18,23.8,141.67,62.18,249.33,43.84
218,Iqbal Abdulla,48,44.0,104.76,47.73,184.38,43.81
219,A Ashish Reddy,28,18.67,145.08,55.0,492.54,43.8
220,DL Chahar,98,15.38,138.2,58.54,253.6,43.76
221,TL Suman,40,21.12,117.57,55.62,1072.78,43.6
222,AUK Pathan,7,7.8,169.57,82.05,143.28,43.52
223,SA Asnodkar,20,21.15,124.78,67.14,696.89,43.14
224,PN Mankad,6,32.33,132.88,65.98,211.94,43.09
225,SW Billings,27,19.35,129.64,55.67,819.32,42.83
226,ER Dwivedi,2,12.0,171.43,83.33,121.71,42.68
227,RS Bopara,24,29.5,117.22,47.46,855.11,42.65
228,Mohammad Nabi,24,13.0,145.39,65.16,404.2,42.55
229,C de Grandhomme,25,18.94,134.67,59.41,521.83,42.43
230,Gurkeerat Singh,32,21.29,121.09,55.97,827.05,42.39
231,Azhar Mahmood,23,20.42,128.05,60.31,646.03,42.32
232,BJ Rohrer,8,27.57,136.88,59.07,357.94,42.3
233,DJ Mitchell,15,27.0,131.46,49.0,592.23,42.08
234,MS Gony,44,9.9,139.44,72.73,218.22,42.05
235,LA Pomersbach,16,27.45,122.76,58.94,514.38,42.02
236,PP Chawla,192,11.14,110.83,55.13,991.42,42.01
237,Shahbaz Ahmed,54,19.31,120.69,48.21,900.34,41.94
238,MF Maharoof,20,17.7,143.9,57.63,337.45,41.82
239,BJ Haddin,1,18.0,163.64,77.78,108.82,41.82
